"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
NA,NA,"mmu04382","Cornified envelope formation - Mus musculus (house mouse)","15/79","223/10650",0.0672645739910314,9.06794573423398,10.5255702930374,6.70974292192727e-11,1.14736603964956e-08,1.05237020564964e-08,"20758/16664/16669/94179/20763/20762/110310/20754/20759/71908/21816/83603/332131/74591/12827",15
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor - Mus musculus (house mouse)","9/79","95/10650",0.0947368421052632,12.7714856762159,9.96262733035845,2.99630330865365e-08,2.56183932889887e-06,2.34973259468102e-06,"57349/57266/12771/16182/20306/16193/20296/20303/20311",9
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction - Mus musculus (house mouse)","11/79","294/10650",0.0374149659863946,5.04391630069749,6.07840628462153,1.00125576194016e-05,0.00057071578430589,0.000523463538698539,"57349/57266/12771/77125/53603/16182/20306/16193/20296/20303/20311",11
"Human Diseases","Infectious disease: parasitic","mmu05146","Amoebiasis - Mus musculus (house mouse)","6/79","108/10650",0.0555555555555556,7.48945147679325,5.85960423220536,0.000144251419740622,0.0061667481939116,0.00565617408982966,"11846/14268/20708/16193/16409/12827",6
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis - Mus musculus (house mouse)","5/79","87/10650",0.0574712643678161,7.74770842426888,5.46301278836172,0.000454191676347932,0.0155333553310993,0.0142472757422825,"12477/16193/20296/17392/20311",5
"Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway - Mus musculus (house mouse)","7/79","194/10650",0.0360824742268041,4.86428291791726,4.69566294403297,0.000572003408237198,0.0163020971347601,0.0149523697942706,"57349/57266/12771/20306/20296/20303/20311",7
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway - Mus musculus (house mouse)","5/79","98/10650",0.0510204081632653,6.87806768276931,5.05347535152803,0.000783512979104516,0.0191401027752675,0.0175554035919659,"20306/16193/20296/17392/20311",5
"Environmental Information Processing","Signal transduction","mmu04668","TNF signaling pathway - Mus musculus (house mouse)","5/79","118/10650",0.0423728813559322,5.71229349924909,4.44967030339024,0.00179931140266276,0.0384602812319165,0.0352759735522041,"16182/16193/20296/17392/20311",5
"Human Diseases","Infectious disease: parasitic","mmu05144","Malaria - Mus musculus (house mouse)","4/79","77/10650",0.051948051948052,7.00312345881966,4.57018146119435,0.00251857110259314,0.0478528509492697,0.043890888220629,"100503605/15122/16193/20296",4
