"celltype","WT","KO"
"Corneal epithelial cells",5786,5110
"Corneal basal epithelial cells",495,780
"Transient amplifying cells (TACs)",1481,1365
"Limbal stem cells (LSCs)",595,693
"Conjunctival epithelial cells",363,580
"Conjunctival basal epithelial cells",511,573
"Keratocytes",475,316
"Fibroblasts",667,544
"Myofibroblasts",75,49
"Endothelial cells",65,44
"Schwann cells",77,59
"Immune cells",1898,1804
